Election,"Commission of India - General Elections,",1996(11th LOK,SABHA),,,,,,,,
,,,,,,,,,,,
VOTES P,OLLED IN STAT,ES BY,PAR,TIES,,,,,,,
,,,,,,,,,,,
"STATE/UT,",,SEATS,,,VOTES,% OF,,,,,
NUMBER OF P,ARTY PARTY,CONT- SE,ATS F,D IN P,OLLED,VOTES,,,,,
CONSTITUENCIES,TYPE,ESTED W,ON SE,ATS BY,PARTY,POLLED,,,,,
,,,,,,,,,,,
1,2 3,4,5,6,7,8,,,,,
,,,,,,,,,,,
NDHRA PRADESH,42,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,U,SJP(M),,,,3,0,3,5784,0.02%
,,,,,,,,,,,
,,U,SMP,,,,12,0,12,21519,0.08%
,,,,,,,,,,,
,,Z,IND,,,,806,0,800,2738331,9.66%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,1065,48,946,28361236,
,,,,,,,,,,,
MANIPUR,,2,,,,,,,,,
,,,,,,,,,,,
,,N,AIIC(T),,,,2,0,2,37505,3.91%
,,,,,,,,,,,
,,N,BJP,,,,2,0,2,50314,5.25%
,,,,,,,,,,,
,,N,CPI,,,,1,0,1,38484,4.01%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,385206,40.17%
,,,,,,,,,,,
,,N,JD,,,,1,0,1,16837,1.76%
,,,,,,,,,,,
,,N,SAP,,,,2,0,2,16669,1.74%
,,,,,,,,,,,
,,S,FPM,,,,2,0,1,120557,12.57%
,,,,,,,,,,,
,,S,ICS,,,,2,0,2,8101,0.84%
,,,,,,,,,,,
,,S,MPP,,,,1,0,1,64266,6.70%
,,,,,,,,,,,
,,Z,IND,,,,13,0,12,221041,23.05%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,28,2,24,958980,
,,,,,,,,,,,
MEGHALAYA,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,2,0,2,60157,9.13%
,,,,,,,,,,,
,,N,CPI,,,,2,0,2,9283,1.41%
,,,,,,,,,,,
,,N,INC,,,,2,1,0,353327,53.64%
,,,,,,,,,,,
,,Z,IND,,,,4,1,3,235893,35.81%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,10,2,7,658660,
,,,,,,,,,,,
MIZORAM,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,126191,42.50%
,,,,,,,,,,,
,,S,MNF,,,,1,0,0,111710,37.63%
,,,,,,,,,,,
,,Z,IND,,,,2,0,1,58985,19.87%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,4,1,1,296886,
,,,,,,,,,,,
NAGALAND,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,472102,62.31%
,,,,,,,,,,,
,,Z,IND,,,,2,0,1,285524,37.69%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,3,1,1,757626,
,,,,,,,,,,,
ORISSA,,21,,,,,,,,,
,,,,,,,,,,,
,,N,AIIC(T),,,,8,0,8,53642,0.41%
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
ORISSA,21,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,20,0,13,1748451,13.42%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,44735,0.34%,,,,
,,,,,,,,,,,
,N,CPM,1,0,0,219870,1.69%,,,,
,,,,,,,,,,,
,N,INC,21,16,0,5850025,44.90%,,,,
,,,,,,,,,,,
,N,JD,19,4,2,3915710,30.05%,,,,
,,,,,,,,,,,
,N,JP,5,0,5,28244,0.22%,,,,
,,,,,,,,,,,
,N,SAP,2,1,1,202413,1.55%,,,,
,,,,,,,,,,,
,S,JMM,4,0,3,201527,1.55%,,,,
,,,,,,,,,,,
,S,SHS,1,0,1,2034,0.02%,,,,
,,,,,,,,,,,
,U,BOP,1,0,1,2088,0.02%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),1,0,1,4813,0.04%,,,,
,,,,,,,,,,,
,U,HJKP,1,0,1,6209,0.05%,,,,
,,,,,,,,,,,
,U,JKP,1,0,1,395,0.00%,,,,
,,,,,,,,,,,
,U,JKP(N),1,0,1,4449,0.03%,,,,
,,,,,,,,,,,
,U,PSSS,3,0,3,5577,0.04%,,,,
,,,,,,,,,,,
,Z,IND,136,0,134,739782,5.68%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",226,21,176,13029964,,,,,
,,,,,,,,,,,
PUNJAB,13,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),7,0,7,50938,0.58%,,,,
,,,,,,,,,,,
,N,BJP,6,0,4,571920,6.48%,,,,
,,,,,,,,,,,
,N,CPI,3,0,3,141496,1.60%,,,,
,,,,,,,,,,,
,N,CPM,3,0,2,236994,2.68%,,,,
,,,,,,,,,,,
,N,INC,13,2,0,3098956,35.10%,,,,
,,,,,,,,,,,
,N,JD,1,0,0,234818,2.66%,,,,
,,,,,,,,,,,
,N,JP,1,0,1,2694,0.03%,,,,
,,,,,,,,,,,
,S,BSP,4,3,1,825565,9.35%,,,,
,,,,,,,,,,,
,S,FBL,1,0,1,776,0.01%,,,,
,,,,,,,,,,,
,S,ICS,1,0,1,406,0.00%,,,,
,,,,,,,,,,,
,S,SAD,9,8,0,2534979,28.72%,,,,
,,,,,,,,,,,
,S,SHS,5,0,5,8686,0.10%,,,,
,,,,,,,,,,,
,U,ABMSD,1,0,1,5673,0.06%,,,,
,,,,,,,,,,,
,U,BKUS,1,0,1,1453,0.02%,,,,
,,,,,,,,,,,
,U,BSP(A),6,0,6,48457,0.55%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),4,0,4,18066,0.20%,,,,
,,,,,,,,,,,
,U,LHP,1,0,1,37127,0.42%,,,,
,,,,,,,,,,,
,U,PVP(P),1,0,1,1185,0.01%,,,,
,,,,,,,,,,,
,U,RPI,3,0,3,5068,0.06%,,,,
,,,,,,,,,,,
,U,SAD(M),7,0,6,339520,3.85%,,,,
,,,,,,,,,,,
,Z,IND,181,0,180,663168,7.51%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",259,13,228,8827945,,,,,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
RAJASTHAN,25,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),17,1,16,464159,3.58%,,,,
,,,,,,,,,,,
,N,BJP,25,12,0,5494459,42.36%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,24450,0.19%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,56452,0.44%,,,,
,,,,,,,,,,,
,N,INC,25,12,2,5253531,40.51%,,,,
,,,,,,,,,,,
,N,JD,14,0,12,341080,2.63%,,,,
,,,,,,,,,,,
,N,SAP,6,0,5,109638,0.85%,,,,
,,,,,,,,,,,
,S,BSP,13,0,13,174440,1.35%,,,,
,,,,,,,,,,,
,S,SHS,15,0,15,31589,0.24%,,,,
,,,,,,,,,,,
,S,SP,7,0,7,44071,0.34%,,,,
,,,,,,,,,,,
,U,ABHM,2,0,2,1810,0.01%,,,,
,,,,,,,,,,,
,U,ABJS,8,0,8,21261,0.16%,,,,
,,,,,,,,,,,
,U,ABMSKP,3,0,3,1362,0.01%,,,,
,,,,,,,,,,,
,U,ABRAHP,3,0,3,3152,0.02%,,,,
,,,,,,,,,,,
,U,BKD,1,0,1,2003,0.02%,,,,
,,,,,,,,,,,
,U,BKUS,1,0,1,252,0.00%,,,,
,,,,,,,,,,,
,U,BLP,1,0,1,561,0.00%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),2,0,2,3399,0.03%,,,,
,,,,,,,,,,,
,U,KP,1,0,1,2235,0.02%,,,,
,,,,,,,,,,,
,U,PSSS,1,0,1,256,0.00%,,,,
,,,,,,,,,,,
,U,SHSP,1,0,1,295,0.00%,,,,
,,,,,,,,,,,
,U,SLP(L),1,0,1,1072,0.01%,,,,
,,,,,,,,,,,
,U,SWD,1,0,1,1637,0.01%,,,,
,,,,,,,,,,,
,Z,IND,527,0,526,936183,7.22%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",677,25,624,12969347,,,,,
,,,,,,,,,,,
SIKKIM,1,,,,,,,,,,
,,,,,,,,,,,
,S,SDF,1,1,0,124218,72.15%,,,,
,,,,,,,,,,,
,S,SSP,1,0,0,42175,24.50%,,,,
,,,,,,,,,,,
,Z,IND,5,0,5,5781,3.36%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",7,1,5,172174,,,,,
,,,,,,,,,,,
TAMIL NADU,39,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),12,0,10,605565,2.23%,,,,
,,,,,,,,,,,
,N,BJP,37,0,36,795797,2.93%,,,,
,,,,,,,,,,,
,N,CPI,2,2,0,632813,2.33%,,,,
,,,,,,,,,,,
,N,CPM,7,0,7,493916,1.82%,,,,
,,,,,,,,,,,
,N,INC,29,0,1,4965364,18.26%,,,,
,,,,,,,,,,,
,N,JD,8,0,7,415287,1.53%,,,,
,,,,,,,,,,,
,N,JP,2,0,1,205816,0.76%,,,,
,,,,,,,,,,,
,N,SAP,5,0,5,3664,0.01%,,,,
,,,,,,,,,,,
,S,ADMK,10,0,0,2130286,7.84%,,,,
,,,,,,,,,,,
,S,DMK,17,17,0,6967679,25.63%,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page 10 of,16),,,,1,45,,,,,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES T,YPE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
TAMIL NADU,39,,,,,,,,,,
,,,,,,,,,,,
,S,MDMK,24,0,23,1222415,4.50%,,,,
,,,,,,,,,,,
,S,PMK,15,0,14,552118,2.03%,,,,
,,,,,,,,,,,
,S,SHS,5,0,5,8556,0.03%,,,,
,,,,,,,,,,,
,S,TMC(M),20,20,0,7339982,27.00%,,,,
,,,,,,,,,,,
,U,AIDPF,1,0,1,195,0.00%,,,,
,,,,,,,,,,,
,U,ATMK,4,0,4,19394,0.07%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),1,0,1,2215,0.01%,,,,
,,,,,,,,,,,
,U,MELPHC,3,0,3,3155,0.01%,,,,
,,,,,,,,,,,
,U,MMS,1,0,1,572,0.00%,,,,
,,,,,,,,,,,
,U,PDP,1,0,1,691,0.00%,,,,
,,,,,,,,,,,
,U,PHK,2,0,2,862,0.00%,,,,
,,,,,,,,,,,
,U,RPI,2,0,2,4872,0.02%,,,,
,,,,,,,,,,,
,U,RPI(S),1,0,1,2081,0.01%,,,,
,,,,,,,,,,,
,U,TNHVYK,1,0,1,422,0.00%,,,,
,,,,,,,,,,,
,Z,IND,539,0,539,815224,3.00%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",749,39,665,27188941,,,,,
,,,,,,,,,,,
TRIPURA,2,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),1,0,1,4928,0.38%,,,,
,,,,,,,,,,,
,N,BJP,2,0,2,83611,6.50%,,,,
,,,,,,,,,,,
,N,CPM,2,2,0,674386,52.41%,,,,
,,,,,,,,,,,
,N,INC,2,0,0,439206,34.13%,,,,
,,,,,,,,,,,
,N,JD,1,0,1,3677,0.29%,,,,
,,,,,,,,,,,
,S,TUJS,2,0,2,52300,4.06%,,,,
,,,,,,,,,,,
,U,AMB,2,0,2,15594,1.21%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),1,0,1,1060,0.08%,,,,
,,,,,,,,,,,
,Z,IND,7,0,7,11964,0.93%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",20,2,16,1286726,,,,,
,,,,,,,,,,,
UTTAR PRADESH,85,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),76,2,71,1387661,3.02%,,,,
,,,,,,,,,,,
,N,BJP,83,52,3,15387632,33.44%,,,,
,,,,,,,,,,,
,N,CPI,3,0,2,176324,0.38%,,,,
,,,,,,,,,,,
,N,CPM,3,0,1,303981,0.66%,,,,
,,,,,,,,,,,
,N,INC,85,5,72,3746505,8.14%,,,,
,,,,,,,,,,,
,N,JD,17,2,6,1961325,4.26%,,,,
,,,,,,,,,,,
,N,JP,32,0,32,39466,0.09%,,,,
,,,,,,,,,,,
,N,SAP,3,1,1,427641,0.93%,,,,
,,,,,,,,,,,
,S,BSP,85,6,24,9483879,20.61%,,,,
,,,,,,,,,,,
,S,FBL,4,0,4,7665,0.02%,,,,
,,,,,,,,,,,
,S,ICS,2,0,2,784,0.00%,,,,
,,,,,,,,,,,
,S,SHS,26,0,26,32763,0.07%,,,,
,,,,,,,,,,,
,S,SP,64,16,7,9587787,20.84%,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page 11 of,16),,,,1,46,,,,,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN STA,TES BY PART,IES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,V,OTES %,OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SEA,TS,FD IN P,OLLED VO,TES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY POL,LED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
UTTAR PRADESH 8,5,,,,,,,,,,
,,,,,,,,,,,
,U,ABBP,12,0,12,9813,0.02%,,,,
,,,,,,,,,,,
,U,ABDUP,1,0,1,658,0.00%,,,,
,,,,,,,,,,,
,U,ABJND,1,0,1,176,0.00%,,,,
,,,,,,,,,,,
,U,ABJS,8,0,8,3044,0.01%,,,,
,,,,,,,,,,,
,U,ABJVP,1,0,1,1208,0.00%,,,,
,,,,,,,,,,,
,U,ABKMM,1,0,1,345,0.00%,,,,
,,,,,,,,,,,
,U,ABLTP,12,0,12,25131,0.05%,,,,
,,,,,,,,,,,
,U,ABRRP,2,0,2,724,0.00%,,,,
,,,,,,,,,,,
,U,ABRS,3,0,3,787,0.00%,,,,
,,,,,,,,,,,
,U,AD,42,0,42,222669,0.48%,,,,
,,,,,,,,,,,
,U,AKD,2,0,2,667,0.00%,,,,
,,,,,,,,,,,
,U,ALD,2,0,2,1037,0.00%,,,,
,,,,,,,,,,,
,U,ARS,2,0,2,1196,0.00%,,,,
,,,,,,,,,,,
,U,BCVD,1,0,1,245,0.00%,,,,
,,,,,,,,,,,
,U,BEP,3,0,3,1801,0.00%,,,,
,,,,,,,,,,,
,U,BHJP,1,0,1,505,0.00%,,,,
,,,,,,,,,,,
,U,BHJS,7,0,7,28247,0.06%,,,,
,,,,,,,,,,,
,U,BJKP,2,0,2,633,0.00%,,,,
,,,,,,,,,,,
,U,BJS,2,0,2,7338,0.02%,,,,
,,,,,,,,,,,
,U,BJTP,1,0,1,1867,0.00%,,,,
,,,,,,,,,,,
,U,BKD,7,0,7,4687,0.01%,,,,
,,,,,,,,,,,
,U,BKD(J),8,0,8,8628,0.02%,,,,
,,,,,,,,,,,
,U,BLP,2,0,2,1089,0.00%,,,,
,,,,,,,,,,,
,U,BRM,4,0,4,3181,0.01%,,,,
,,,,,,,,,,,
,U,BRP,1,0,1,140,0.00%,,,,
,,,,,,,,,,,
,U,BSK,1,0,1,89,0.00%,,,,
,,,,,,,,,,,
,U,BSP(R),1,0,1,1643,0.00%,,,,
,,,,,,,,,,,
,U,BSSM,2,0,2,535,0.00%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),4,0,4,8427,0.02%,,,,
,,,,,,,,,,,
,U,EKD(UP),3,0,3,1409,0.00%,,,,
,,,,,,,,,,,
,U,FOS,1,0,1,142,0.00%,,,,
,,,,,,,,,,,
,U,GSP,1,0,1,962,0.00%,,,,
,,,,,,,,,,,
,U,HKMP,1,0,1,131,0.00%,,,,
,,,,,,,,,,,
,U,IBSP,2,0,2,1376,0.00%,,,,
,,,,,,,,,,,
,U,IDP,3,0,3,5084,0.01%,,,,
,,,,,,,,,,,
,U,INL,4,0,4,6305,0.01%,,,,
,,,,,,,,,,,
,U,ISC,1,0,1,76,0.00%,,,,
,,,,,,,,,,,
,U,JKC,1,0,1,324,0.00%,,,,
,,,,,,,,,,,
,U,JSWP,1,0,1,278,0.00%,,,,
,,,,,,,,,,,
,U,KRD,1,0,1,112,0.00%,,,,
,,,,,,,,,,,
,U,KVMP,2,0,2,1056,0.00%,,,,
,,,,,,,,,,,
,U,LD,7,0,7,10134,0.02%,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page 12 of,16),,,,14,7,,,,,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
UTTAR PRADESH 8,5,,,,,,,,,,
,,,,,,,,,,,
,U,MSS,1,0,1,225,0.00%,,,,
,,,,,,,,,,,
,U,NDPF,3,0,3,4462,0.01%,,,,
,,,,,,,,,,,
,U,PHK,1,0,1,998,0.00%,,,,
,,,,,,,,,,,
,U,PMSP,6,0,6,9974,0.02%,,,,
,,,,,,,,,,,
,U,PPNMS,2,0,2,861,0.00%,,,,
,,,,,,,,,,,
,U,PSP,1,0,1,407,0.00%,,,,
,,,,,,,,,,,
,U,PSS,1,0,1,1049,0.00%,,,,
,,,,,,,,,,,
,U,PSSS,7,0,7,5437,0.01%,,,,
,,,,,,,,,,,
,U,RAM,1,0,1,1354,0.00%,,,,
,,,,,,,,,,,
,U,RBNNS,1,0,1,528,0.00%,,,,
,,,,,,,,,,,
,U,RMEP,2,0,2,1464,0.00%,,,,
,,,,,,,,,,,
,U,RPI,22,0,22,21676,0.05%,,,,
,,,,,,,,,,,
,U,RSPP,4,0,4,6097,0.01%,,,,
,,,,,,,,,,,
,U,RSSD,1,0,1,348,0.00%,,,,
,,,,,,,,,,,
,U,SABJAN,1,0,1,113,0.00%,,,,
,,,,,,,,,,,
,U,SKD,1,0,1,522,0.00%,,,,
,,,,,,,,,,,
,U,SLP(R),1,0,1,848,0.00%,,,,
,,,,,,,,,,,
,U,SMP,10,0,10,18724,0.04%,,,,
,,,,,,,,,,,
,U,SSD,7,0,7,7092,0.02%,,,,
,,,,,,,,,,,
,U,UPRP,8,0,8,22515,0.05%,,,,
,,,,,,,,,,,
,Z,IND,2569,1,2566,3004661,6.53%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",3297,85,3062,46016667,,,,,
,,,,,,,,,,,
WEST BENGAL 4,2,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),7,0,7,18377,0.05%,,,,
,,,,,,,,,,,
,N,BJP,42,0,42,2525864,6.88%,,,,
,,,,,,,,,,,
,N,CPI,3,3,0,1397109,3.81%,,,,
,,,,,,,,,,,
,N,CPM,31,23,0,13467522,36.70%,,,,
,,,,,,,,,,,
,N,INC,42,9,0,14711538,40.09%,,,,
,,,,,,,,,,,
,N,JD,1,0,0,147686,0.40%,,,,
,,,,,,,,,,,
,N,SAP,4,0,4,3461,0.01%,,,,
,,,,,,,,,,,
,S,BSP,4,0,4,41466,0.11%,,,,
,,,,,,,,,,,
,S,FBL,3,3,0,1253700,3.42%,,,,
,,,,,,,,,,,
,S,JMM,7,0,7,187040,0.51%,,,,
,,,,,,,,,,,
,S,MUL,10,0,10,26507,0.07%,,,,
,,,,,,,,,,,
,S,RSP,4,4,0,1745683,4.76%,,,,
,,,,,,,,,,,
,S,SHS,7,0,7,26767,0.07%,,,,
,,,,,,,,,,,
,U,AMB,13,0,13,44502,0.12%,,,,
,,,,,,,,,,,
,U,BKUS,2,0,2,2670,0.01%,,,,
,,,,,,,,,,,
,U,BMSM,1,0,1,2834,0.01%,,,,
,,,,,,,,,,,
,U,CPI(ML)(L),3,0,3,27537,0.08%,,,,
,,,,,,,,,,,
,U,FB(S),2,0,2,172685,0.47%,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page 13 of,16),,,,1,48,,,,,
"ELECTIONS - INDIA, 1",996,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
WEST BENGAL,,42,,,,,,,,,
,,,,,,,,,,,
,,U,HJKP,,,,2,0,2,24011,0.07%
,,,,,,,,,,,
,,U,IDPP,,,,1,0,1,1438,0.00%
,,,,,,,,,,,
,,U,INL,,,,3,0,3,8295,0.02%
,,,,,,,,,,,
,,U,JKP,,,,2,0,2,4265,0.01%
,,,,,,,,,,,
,,U,JKP(N),,,,2,0,2,94655,0.26%
,,,,,,,,,,,
,,U,JMM(M),,,,2,0,2,4058,0.01%
,,,,,,,,,,,
,,U,PBRML,,,,3,0,3,8624,0.02%
,,,,,,,,,,,
,,U,SMP,,,,2,0,2,1487,0.00%
,,,,,,,,,,,
,,Z,IND,,,,194,0,194,750248,2.04%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,397,42,313,36700029,
,,,,,,,,,,,
MAN & NICOBAR,,1,,,,,,,,,
ISLANDS,,,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,0,31097,24.25%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,18363,14.32%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,74642,58.22%
,,,,,,,,,,,
,,N,JP,,,,1,0,1,527,0.41%
,,,,,,,,,,,
,,Z,IND,,,,7,0,7,3583,2.79%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,11,1,9,128212,
,,,,,,,,,,,
CHANDIGARH,,1,,,,,,,,,
,,,,,,,,,,,
,,N,AIIC(T),,,,1,0,1,513,0.20%
,,,,,,,,,,,
,,N,BJP,,,,1,1,0,101137,39.05%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,6030,2.33%
,,,,,,,,,,,
,,N,INC,,,,1,0,0,77168,29.79%
,,,,,,,,,,,
,,N,JD,,,,1,0,1,2405,0.93%
,,,,,,,,,,,
,,N,JP,,,,1,0,1,834,0.32%
,,,,,,,,,,,
,,N,SAP,,,,1,0,0,45569,17.59%
,,,,,,,,,,,
,,S,BSP,,,,1,0,1,10612,4.10%
,,,,,,,,,,,
,,S,ICS,,,,1,0,1,654,0.25%
,,,,,,,,,,,
,,S,SHS,,,,1,0,1,195,0.08%
,,,,,,,,,,,
,,U,BSP(A),,,,1,0,1,4128,1.59%
,,,,,,,,,,,
,,U,PHK,,,,1,0,1,735,0.28%
,,,,,,,,,,,
,,U,SMP,,,,1,0,1,882,0.34%
,,,,,,,,,,,
,,Z,IND,,,,35,0,35,8145,3.14%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,48,1,45,259007,
,,,,,,,,,,,
& NAGAR HAVELI,,1,,,,,,,,,
,,,,,,,,,,,
,,N,AIIC(T),,,,1,0,1,433,0.61%
,,,,,,,,,,,
,,N,BJP,,,,1,0,0,30035,42.42%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,39384,55.62%
,,,,,,,,,,,
,,Z,IND,,,,2,0,2,957,1.35%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,5,1,3,70809,
,,,,,,,,,,,
dinStates/UTsbyParties - Page,14 of,16),,,,,,,1,49,
"ELECTIONS - INDIA, 1996",,,VOT,ES,POLLED IN STA,TES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,V,OTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SEA,TS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
DAMAN & DIU,1,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,1,0,0,19612,40.45%,,,,
,,,,,,,,,,,
,N,INC,1,1,0,24543,50.62%,,,,
,,,,,,,,,,,
,Z,IND,7,0,7,4333,8.94%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats","Won, F","D in Seats, Valid Votes) :",9,1,7,48488,,,,,
,,,,,,,,,,,
TIONAL CAPITAL,7,,,,,,,,,,
RITORY OF DELHI,,,,,,,,,,,
,,,,,,,,,,,
,N,AIIC(T),7,0,7,90250,2.25%,,,,
,,,,,,,,,,,
,N,BJP,7,5,0,1994550,49.62%,,,,
,,,,,,,,,,,
,N,CPI,1,0,1,4751,0.12%,,,,
,,,,,,,,,,,
,N,CPM,1,0,1,10983,0.27%,,,,
,,,,,,,,,,,
,N,INC,7,2,0,1499128,37.29%,,,,
,,,,,,,,,,,
,N,JD,5,0,5,170609,4.24%,,,,
,,,,,,,,,,,
,N,JP,6,0,6,16716,0.42%,,,,
,,,,,,,,,,,
,N,SAP,3,0,3,4789,0.12%,,,,
,,,,,,,,,,,
,S,FBL,4,0,4,1974,0.05%,,,,
,,,,,,,,,,,
,S,ICS,2,0,2,2181,0.05%,,,,
,,,,,,,,,,,
,S,SHS,4,0,4,7481,0.19%,,,,
,,,,,,,,,,,
,S,SP,3,0,3,12938,0.32%,,,,
,,,,,,,,,,,
,U,ABDD,3,0,3,894,0.02%,,,,
,,,,,,,,,,,
,U,ABHM,2,0,2,1828,0.05%,,,,
,,,,,,,,,,,
,U,ABJVP,3,0,3,5441,0.14%,,,,
,,,,,,,,,,,
,U,ABMSKP,5,0,5,2190,0.05%,,,,
,,,,,,,,,,,
,U,ABSR,6,0,6,1477,0.04%,,,,
,,,,,,,,,,,
,U,AIAHMJKP,3,0,3,883,0.02%,,,,
,,,,,,,,,,,
