State Name,Winning party,vote %
NDHRA PRADESH42,N,28.49
ACHAL PRADESH2,N,34.14
ASSAM14,S,4.51
ASSAM 14,N,57.66
BIHAR 54,U,13.07
BIHAR54,N,42.13
GOA2,N,38.77
GUJARAT26,N,48.4
GUJARAT26,U,1.39
HARYANA10,N,56.62
ACHAL PRADESH4,S,52.67
KARNATAKA28,N,43.97
KARNATAKA28,S,0.64
KERALA20,N,32.82
ADHYA PRADESH 40,U,0.03
MAHARASHTRA 48,N,44.14
MAHARASHTRA48,S,0.34
MANIPUR2,N,50.55
MEGHALAYA2,N,53.07
MIZORAM1,Z,2.58
NAGALAND1,0,0.0
ORISSA21,0,0.0
RAJASTHAN25,0,0.0
RAJASTHAN25,0,0.0
SIKKIM1,0,0.0
TAMIL NADU39,0,0.0
TRIPURA2,0,0.0
TRIPURA2,0,0.0
UTTAR PRADESH 85,0,0.0
UTTAR PRADESH85,0,0.0
WEST BENGAL42,0,0.0
ISLANDS,0,0.0
ISLANDS,0,0.0
CHANDIGARH1,0,0.0
& NAGAR HAVELI1,0,0.0
DAMAN & DIU1,0,0.0
RITORY OF DELHI,0,0.0
RITORY OF DELHI,0,0.0
LAKSHADWEEP1,0,0.0
PONDICHERRY1,0,0.0
PONDICHERRY1,0,0.0
