State Name,Winning party,vote %
NDHRA PRADESH42,U,0.0
ACHAL PRADESH2,U,3.17
BIHAR54,N,47.43
BIHAR54,N,46.15
GOA2,N,48.9
GUJARAT26,N,41.7
GUJARAT26,S,0.0
HARYANA10,N,45.36
ACHAL PRADESH4,N,45.04
MMU & KASHMIR6,N,60.29
KARNATAKA28,N,49.47
KARNATAKA28,U,29.19
KERALA20,S,68.52
ADHYA PRADESH40,N,55.5
ADHYA PRADESH40,U,9.93
MAHARASHTRA48,N,41.38
MANIPUR2,Z,59.25
MANIPUR2,N,43.41
MEGHALAYA2,U,3.65
MIZORAM1,Z,9.38
NAGALAND1,N,52.27
ORISSA21,S,41.65
PUNJAB13,0,0.0
PUNJAB13,0,0.0
RAJASTHAN25,0,0.0
SIKKIM1,0,0.0
TAMIL NADU39,0,0.0
TRIPURA2,0,0.0
UTTAR PRADESH85,0,0.0
UTTAR PRADESH 85,0,0.0
WEST BENGAL 42,0,0.0
WEST BENGAL42,0,0.0
ISLANDS,0,0.0
CHANDIGARH1,0,0.0
& NAGAR HAVELI1,0,0.0
DAMAN & DIU1,0,0.0
RITORY OF DELHI,0,0.0
RITORY OF DELHI,0,0.0
LAKSHADWEEP1,0,0.0
PONDICHERRY1,0,0.0
