State Name,Winning party,vote %
NDHRA PRADESH42,N,51.84
ACHAL PRADESH2,N,46.21
BIHAR54,N,54.95
OA DAMAN & DIU2,N,67.58
OA DAMAN & DIU2,N,4.68
GUJARAT26,N,51.63
HARYANA10,N,57.08
ACHAL PRADESH4,N,34.95
MMU & KASHMIR6,N,64.64
KARNATAKA28,N,52.72
KERALA20,Z,72.44
ADHYA PRADESH40,N,48.16
MAHARASHTRA48,N,66.02
MAHARASHTRA48,N,68.72
MANIPUR2,N,58.86
MEGHALAYA2,0,0.0
NAGALAND1,0,0.0
ORISSA21,0,0.0
RAJASTHAN25,0,0.0
RAJASTHAN25,0,0.0
SIKKIM1,0,0.0
TAMIL NADU39,0,0.0
TRIPURA2,0,0.0
UTTAR PRADESH85,0,0.0
UTTAR PRADESH85,0,0.0
WEST BENGAL42,0,0.0
ISLANDS,0,0.0
CHANDIGARH1,0,0.0
& NAGAR HAVELI1,0,0.0
Delhi7,0,0.0
Delhi7,0,0.0
LAKSHADWEEP1,0,0.0
PONDICHERRY1,0,0.0
