"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,169,26,115,8854011,,,
,,,,,,,,,,,,,
HARYANA,,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,INC(I),,,,10,5,0,1426261,32.55%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,2,0,2,3182,0.07%,,
,,,,,,,,,,,,,
,,N,JNP,,,,10,1,0,1232914,28.14%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,10,4,1,1468713,33.52%,,
,,,,,,,,,,,,,
,,S,FBL,,,,1,0,1,1650,0.04%,,
,,,,,,,,,,,,,
,,U,RPK,,,,3,0,3,6169,0.14%,,
,,,,,,,,,,,,,
,,U,RRP,,,,3,0,3,4776,0.11%,,
,,,,,,,,,,,,,
,,U,SUC,,,,1,0,1,1982,0.05%,,
,,,,,,,,,,,,,
,,Z,IND,,,,97,0,97,235638,5.38%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,137,10,108,4381285,,,
,,,,,,,,,,,,,
ACHAL PRADESH,,4,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,1,0,1,24372,1.94%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,4,4,0,653018,52.08%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,1,0,1,3740,0.30%,,
,,,,,,,,,,,,,
,,N,JNP,,,,4,0,0,456166,36.38%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,3,0,3,66618,5.31%,,
,,,,,,,,,,,,,
,,Z,IND,,,,16,0,16,49955,3.98%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,29,4,21,1253869,,,
,,,,,,,,,,,,,
MMU & KASHMIR,,6,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,INC(I),,,,1,1,0,249760,18.68%,,
"ELECTIONS - INDIA, 1",980,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,
,,,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES,,
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8,,
,,,,,,,,,,,,,
MMU & KASHMIR,,6,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,INC(U),,,,2,1,1,194138,14.52%,,
,,,,,,,,,,,,,
,,N,JNP,,,,1,0,0,115503,8.64%,,
,,,,,,,,,,,,,
,,S,JKN,,,,5,3,0,493143,36.88%,,
,,,,,,,,,,,,,
,,Z,IND,,,,20,1,16,284459,21.28%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,29,6,17,1337003,,,
,,,,,,,,,,,,,
KARNATAKA,,28,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,1,0,1,26999,0.25%,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,1,23619,0.22%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,28,27,0,6154746,56.25%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,27,0,12,1826448,16.69%,,
,,,,,,,,,,,,,
,,N,JNP,,,,28,1,6,2508846,22.93%,,
,,,,,,,,,,,,,
,,N,JNP(S),,,,12,0,12,133757,1.22%,,
,,,,,,,,,,,,,
,,U,SUC,,,,1,0,1,742,0.01%,,
,,,,,,,,,,,,,
,,Z,IND,,,,92,0,91,265948,2.43%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,190,28,124,10941105,,,
,,,,,,,,,,,,,
KERALA,,20,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,2,1,0,337194,4.13%,,
,,,,,,,,,,,,,
,,N,CPM,,,,8,7,0,1754387,21.48%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,11,5,0,2150186,26.32%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,6,3,0,1294480,15.85%,,
,,,,,,,,,,,,,
,,N,JNP,,,,4,0,1,547454,6.70%,,
,,,,,,,,,,,,,
,,S,IML,,,,1,0,0,196820,2.41%,,
,,,,,,,,,,,,,
,,S,KEC,,,,2,1,0,356997,4.37%,,
,,,,,,,,,,,,,
,,S,MUL,,,,2,2,0,454235,5.56%,,
,,,,,,,,,,,,,
,,S,RSP,,,,1,0,0,185562,2.27%,,
,,,,,,,,,,,,,
,,U,SUC,,,,1,0,1,9647,0.12%,,
,,,,,,,,,,,,,
,,Z,IND,,,,55,1,51,881694,10.79%,,
,,,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,93,20,53,8168656,,,
,,,,,,,,,,,,,
ADHYA PRADESH,,40,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,3,0,3,68982,0.55%,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,1,16071,0.13%,,
,,,,,,,,,,,,,
,,N,INC(I),,,,39,35,0,5949859,47.20%,,
,,,,,,,,,,,,,
,,N,INC(U),,,,13,0,13,158656,1.26%,,
,,,,,,,,,,,,,
