,,Election Co,mmission,,of India -,General E,"lections, 1951 (",1st,LOK S,ABH,A),,,,,
,,,,,,,,,,,,,,,,
,,VOTE,S PO,,LLE,D IN,STATE,S,BY,PA,R,TIES,,,,
,,,,,,,,,,,,,,,,
,,,,,,,SEATS,,,,V,OTES %,OF,,,
,,"STATE/UT, NO",OF,,,,CONT- SEA,TS,FD,IN,P,OLLED V,OTES,,,
,,CONSTITUENC,IES,P,ARTY,,ESTED WO,N,SEA,TS,BY,PARTY P,OLLED,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ptVotesPo,lledinStates/UTsby,Parties -,Page 5,o,f 7),,,,,,,,,65,,
GENERA,L ELECTIONS -,"INDIA,",1951,,,,,VOT,ES POL,L,ED IN,,ST,ATES BY PA,RTIES,
,,,,,,,,,,,,,,,,
,,,,,,,,SEATS,,,,,V,OTES %,OF,
,STATE/U,"T, NO",OF,,,,,CONT- SEAT,S F,D,IN,,PO,LLED V,OTES,
,CONSTIT,UENCI,ES,P,ARTY,,,ESTED WON,SE,A,TS,,BY,PARTY P,OLLED,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1,,,2,,,3 4,,,5,,,6,7,
,,,,,,,,,,,,,,,,
,C,oorg,,(,Single,Member,:,1 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,IND,,,1,0,,0,,,25750,40.35%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 2,1,,0,,,63813,,
,,,,,,,,,,,,,,,,
,,Delhi 3,,(,Single,Member,:,2 Double M,ember,:,1,),,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,,3,0,,0,,,169997,25.92%,
,,,,,,,,,,,,,,,,
,,,,,HMS,,,1,0,,1,,,3921,0.60%,
,,,,,,,,,,,,,,,,
,,,,,INC,,,4,3,,0,,,324214,49.43%,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,,1,1,,0,,,47735,7.28%,
,,,,,,,,,,,,,,,,
,,,,,RRP,,,1,0,,1,,,4286,0.65%,
,,,,,,,,,,,,,,,,
,,,,,SCF,,,1,0,,1,,,22702,3.46%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,8,0,,7,,,83045,12.66%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 19,4,,10,,,655900,,
,,,,,,,,,,,,,,,,
,Himachal Pra,desh 2,,(,Single,Member,:,1 Double M,ember,:,1,),,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,,2,0,,1,,,23918,10.72%,
,,,,,,,,,,,,,,,,
,,,,,INC,,,3,3,,0,,,117036,52.44%,
,,,,,,,,,,,,,,,,
,,,,,KMPP,,,2,0,,1,,,27368,12.26%,
,,,,,,,,,,,,,,,,
,,,,,SCF,,,1,0,,0,,,18988,8.51%,
,,,,,,,,,,,,,,,,
,,,,,SP,,,1,0,,0,,,16780,7.52%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,1,0,,0,,,19099,8.56%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 10,3,,2,,,223189,,
,,,,,,,,,,,,,,,,
,K,utch,,(,Single,Member,:,2 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,INC,,,2,2,,0,,,78771,65.87%,
,,,,,,,,,,,,,,,,
,,,,,SP,,,1,0,,1,,,5985,5.01%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,2,0,,0,,,34824,29.12%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 5,2,,1,,,119580,,
,,,,,,,,,,,,,,,,
,Ma,nipur,,(,Single,Member,:,2 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,CPI,,,1,0,,0,,,13184,8.65%,
,,,,,,,,,,,,,,,,
,,,,,INC,,,2,1,,0,,,36317,23.82%,
,,,,,,,,,,,,,,,,
,,,,,SP,,,2,1,,1,,,29372,19.26%,
,,,,,,,,,,,,,,,,
,,,,,AMN,,,2,0,,1,,,22083,14.48%,
,,,,,,,,,,,,,,,,
,,,,,GSS,,,1,0,,1,,,7196,4.72%,
,,,,,,,,,,,,,,,,
,,,,,HR,,,1,0,,1,,,1468,0.96%,
,,,,,,,,,,,,,,,,
,,,,,KNA,,,1,0,,1,,,12155,7.97%,
,,,,,,,,,,,,,,,,
,,,,,PP,,,2,0,,2,,,16955,11.12%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,2,0,,2,,,13737,9.01%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 14,2,,9,,,152467,,
,,,,,,,,,,,,,,,,
,Tri,pura,,(,Single,Member,:,2 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,,2,0,,2,,,9663,6.14%,
,,,,,,,,,,,,,,,,
,,,,,CPI,,,2,2,,0,,,96458,61.29%,
,,,,,,,,,,,,,,,,
,,,,,INC,,,2,0,,1,,,40263,25.58%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,1,0,,1,,,10987,6.98%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 7,2,,4,,,157371,,
,,,,,,,,,,,,,,,,
ptVotesPo,lledinStates/UTsby,Parties -,Page 6,o,f 7),,,,,,,,,66,,
"DIA, 1951",,VOT,ES POLLE,D IN,ST,ATES BY PA,RTIES,,,,,,,,,
,,,,,,,,,,,,,,,,
,,SEATS,,,V,OTES %,OF,,,,,,,,,
NO OF,,CONT- SEAT,S FD I,N,PO,LLED V,OTES,,,,,,,,,
ENCIES P,ARTY,ESTED WON,SEA,TS,BY,PARTY P,OLLED,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2,3 4,5,,,6,7,,,,,,,,,
,,,,,,,,,,,,,,,,
esh 4 (,Single Member :,2 Double M,ember :,2 ),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,BJS,4,0,2,,89701,12.71%,,,,,,,,,
,,,,,,,,,,,,,,,,
,INC,4,4,0,,238220,33.75%,,,,,,,,,
,,,,,,,,,,,,,,,,
,KMPP,5,1,1,,106071,15.03%,,,,,,,,,
,,,,,,,,,,,,,,,,
,RRP,2,0,1,,26596,3.77%,,,,,,,,,
,,,,,,,,,,,,,,,,
,SCF,1,0,1,,24859,3.52%,,,,,,,,,
,,,,,,,,,,,,,,,,
,SP,4,1,1,,125480,17.78%,,,,,,,,,
,,,,,,,,,,,,,,,,
,IND,4,0,3,,94911,13.45%,,,,,,,,,
,,,,,,,,,,,,,,,,
"Seats Won, FD","in Seats, Valid Vot",es) 24,6,9,,705838,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grand,Total :,1874 489,7,45,1,05950083,,,,,,,,,,
,,,,,,,,,,,,,,,,
rties - Page 7 o,f 7),,,,,67,,,,,,,,,,
