Election Comm,issio,"n of India - General Elections,",1971 (5th LOK,SABHA),,,,,,,
,,,,,,,,,,,
VOTES PO,LL,ED IN STAT,ES BY,PART,IES,,,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS FD,IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
Andhra Pradesh 4,1,,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,7,0,1,383792,29.57%
,,,,,,,,,,,
,,N,INC,,,,7,7,0,835673,64.39%
"ELECTIONS - INDIA, 1",971,,,,,,VO,TES POLLE,D IN STA,TES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,V,OTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- S,EATS FD I,N P,OLLED,VOTES
CONSTITUENCIES,TY,PE,,,,,ESTED,WON SEA,TS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5 6,,7,8
,,,,,,,,,,,
Delhi,,7,,,,,,,,,
,,,,,,,,,,,
,,N,NCO,,,,5,0,5,21398,1.65%
,,,,,,,,,,,
,,N,PSP,,,,2,0,2,1188,0.09%
,,,,,,,,,,,
,,N,SSP,,,,2,0,2,1405,0.11%
,,,,,,,,,,,
,,N,SWA,,,,1,0,1,1279,0.10%
,,,,,,,,,,,
,,S,BKD,,,,1,0,1,25227,1.94%
,,,,,,,,,,,
,,S,FBL,,,,1,0,1,1367,0.11%
,,,,,,,,,,,
,,S,VHP,,,,2,0,2,1551,0.12%
,,,,,,,,,,,
,,U,HMS,,,,1,0,1,545,0.04%
,,,,,,,,,,,
,,U,RPK,,,,1,0,1,388,0.03%
,,,,,,,,,,,
,,Z,IND,,,,34,0,34,24071,1.85%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,64,7,51,1297884,
,,,,,,,,,,,
"Goa, Daman And Diu",,2,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,57627,24.43%
,,,,,,,,,,,
,,N,NCO,,,,1,0,1,1712,0.73%
,,,,,,,,,,,
,,S,MAG,,,,1,0,0,54597,23.14%
,,,,,,,,,,,
,,S,UGS,,,,1,1,0,58401,24.76%
,,,,,,,,,,,
,,Z,IND,,,,9,0,8,63568,26.95%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,13,2,9,235905,
,,,,,,,,,,,
L M And A Islands,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,0,#Num!
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,1,1,0,0,
,,,,,,,,,,,
Manipur,,2,,,,,,,,,
,,,,,,,,,,,
,,N,CPI,,,,1,0,0,38900,14.98%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,77974,30.02%
,,,,,,,,,,,
,,N,NCO,,,,2,0,2,23412,9.01%
,,,,,,,,,,,
,,N,SSP,,,,1,0,1,13134,5.06%
,,,,,,,,,,,
,,U,MRP,,,,1,0,0,31029,11.95%
,,,,,,,,,,,
,,Z,IND,,,,4,0,2,75312,28.99%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,11,2,5,259761,
,,,,,,,,,,,
Pondicherry,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,112714,66.27%
,,,,,,,,,,,
,,N,NCO,,,,1,0,0,47550,27.96%
,,,,,,,,,,,
,,Z,IND,,,,2,0,2,9824,5.78%
,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, F","D in Seats,",Valid,Votes),:,4,1,2,170088,
,,,,,,,,,,,
Tripura,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJS,,,,1,0,1,2038,0.49%
,,,,,,,,,,,
,,N,CPI,,,,2,0,2,27899,6.76%
,,,,,,,,,,,
,,N,CPM,,,,2,2,0,179456,43.50%
,,,,,,,,,,,
,,N,INC,,,,2,0,0,149776,36.30%
"ELECTIONS - INDIA, 1",971,,VO,TES,POLLED IN ST,ATES B,,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,,,,,
NUMBER OF,PARTY,PARTY,CONT- S,EATS,FD IN,POLLED,,,,,
CONSTITUENCIES,TYPE,,ESTED,WON,SEATS B,Y PARTY,,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,,,,,
,,,,,,,,,,,
Tripura,2,,,,,,,,,,
,,,,,,,,,,,
,Z,IND,2,0,1,53392,,,,,
,,,,,,,,,,,
"tate/UT total (Contestants,","Seats Won, F","D in Seats, Valid Votes) :",9,2,4,412561,,,,,
,,,,,,,,,,,
,Grand Total,:,2784,518,1707,146602276,,,,,
,,,,,,,,,,,
"Party, S - State Party, U -",Registered (U,"nrecognised) Party, Z -",Independent,,,,,,,,
