VOTES,PO,LL,ED,IN STAT,ES BY,PA,RTIES,,,,,,
,,N,CPI,6,0,5,131533,1.42%,,,,,
,,,,,,,,,,,,,
,,N,INC,37,24,4,3774364,40.78%,,,,,
,,,,,,,,,,,,,
,,N,PSP,15,0,12,464309,5.02%,,,,,
,,,,,,,,,,,,,
,,N,SSP,11,0,9,337671,3.65%,,,,,
,,,,,,,,,,,,,
,,N,SWA,2,1,1,253939,2.74%,,,,,
,,,,,,,,,,,,,
,,S,RPI,7,0,6,157754,1.70%,,,,,
,,,,,,,,,,,,,
,,U,JAC,3,0,2,136631,1.48%,,,,,
,,,,,,,,,,,,,
,,Z,IND,61,2,57,1262839,13.65%,,,,,
,,,,,,,,,,,,,
"ontestants,",Seats,"Won, FD","in Seats, Valid Votes) :",174,37 1,00,9254773,,,,,,
,,,,,,,,,,,,,
Madras,,39,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,4,0,4,33626,0.22%,,,,,
,,,,,,,,,,,,,
,,N,CPI,7,0,6,299841,1.94%,,,,,
,,,,,,,,,,,,,
,,N,CPM,5,4,0,1057542,6.85%,,,,,
,,,,,,,,,,,,,
,,N,INC,39,3,0,6436710,41.69%,,,,,
,,,,,,,,,,,,,
,,N,PSP,1,0,1,12162,0.08%,,,,,
,,,,,,,,,,,,,
,,N,SWA,8,6,0,1414208,9.16%,,,,,
,,,,,,,,,,,,,
,,S,DMK,25,25,0,5524514,35.78%,,,,,
,,,,,,,,,,,,,
,,S,RPI,2,0,2,31451,0.20%,,,,,
,,,,,,,,,,,,,
,,Z,IND,36,1,35,629040,4.07%,,,,,
,,,,,,,,,,,,,
"ontestants,",Seats,"Won, FD","in Seats, Valid Votes) :",127,39,48,15439094,,,,,,
,,,,,,,,,,,,,
rashtra,,45,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,26,0,19,1004297,7.36%,,,,,
,,,,,,,,,,,,,
,,N,CPI,7,2,0,701072,5.14%,,,,,
,,,,,,,,,,,,,
,,N,INC,45,37,0,6618181,48.51%,,,,,
,,,,,,,,,,,,,
,,N,PSP,8,1,6,347330,2.55%,,,,,
,,,,,,,,,,,,,
,,N,SSP,5,2,0,510131,3.74%,,,,,
,,,,,,,,,,,,,
,,N,SWA,4,0,4,137900,1.01%,,,,,
,,,,,,,,,,,,,
,,S,PWP,11,2,2,1028755,7.54%,,,,,
,,,,,,,,,,,,,
,,S,RPI,17,0,2,1733548,12.71%,,,,,
,,,,,,,,,,,,,
Parties - Pag,e 3 of,8),,,,9,4,,,,,,
,ST,"ATE/UT,",,,,,,,SEATS,,,VOTES,% OF
,NUM,BER OF,PART,Y,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONS,TIT,UENCIES,TY,PE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,,,
,,1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,,,
,Ma,harashtra,4,5,,,,,,,,,
,,,,,,,,,,,,,
,,,,Z,IND,,,,62,1,56,1562358,11.45%
,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,185,45,89,13643572,
,,,,,,,,,,,,,
,,Mysore,2,7,,,,,,,,,
,,,,,,,,,,,,,
,,,,N,BJS,,,,5,0,3,172391,2.25%
,,,,,,,,,,,,,
,,,,N,CPM,,,,2,0,0,123319,1.61%
,,,,,,,,,,,,,
,,,,N,INC,,,,27,18,0,3755339,49.02%
,,,,,,,,,,,,,
,,,,N,PSP,,,,5,2,1,392597,5.12%
,,,,,,,,,,,,,
,,,,N,SSP,,,,2,1,1,200310,2.61%
,,,,,,,,,,,,,
,,,,N,SWA,,,,11,5,2,1094458,14.29%
,,,,,,,,,,,,,
,,,,S,RPI,,,,3,0,0,237266,3.10%
,,,,,,,,,,,,,
,,,,Z,IND,,,,45,1,31,1685738,22.00%
,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,100,27,38,7661418,
,,,,,,,,,,,,,
,,Nagaland,,1,,,,,,,,,
,,,,,,,,,,,,,
,,,,S,NNO,,,,1,1,0,0,#Num!
,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,1,1,0,0,
,,,,,,,,,,,,,
,,Orissa,2,0,,,,,,,,,
,,,,,,,,,,,,,
,,,,N,BJS,,,,2,0,2,22368,0.55%
,,,,,,,,,,,,,
,,,,N,CPI,,,,3,0,0,156282,3.85%
,,,,,,,,,,,,,
,,,,N,INC,,,,20,6,0,1353704,33.33%
,,,,,,,,,,,,,
,,,,N,PSP,,,,5,4,1,653882,16.10%
,,,,,,,,,,,,,
,,,,N,SSP,,,,2,1,0,182886,4.50%
,,,,,,,,,,,,,
,,,,N,SWA,,,,17,8,2,1253893,30.87%
,,,,,,,,,,,,,
,,,,Z,IND,,,,16,1,12,438977,10.81%
,,,,,,,,,,,,,
State/UT,total,"(Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,65,20,17,4061992,
,,,,,,,,,,,,,
,,Punjab,1,3,,,,,,,,,
,,,,,,,,,,,,,
,,,,N,BJS,,,,8,1,3,534928,12.49%
,,,,,,,,,,,,,
,,,,N,CPI,,,,3,0,1,183341,4.28%
,,,,,,,,,,,,,
,,,,N,CPM,,,,2,0,1,81008,1.89%
,,,,,,,,,,,,,
,,,,N,INC,,,,13,9,0,1598546,37.31%
,,,,,,,,,,,,,
,,,,N,SSP,,,,1,0,1,17399,0.41%
,,,,,,,,,,,,,
edinStates,/UTsb,yParties - Pag,e 4 of 8),,,,,,,,9,5,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PART,Y,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,TY,PE,,,,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8,,
,,,,,,,,,,,,,
Punjab,1,3,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,SWA,,,,6,0,5,199401,4.65%,,
,,,,,,,,,,,,,
,,S,ADM,,,,7,0,7,189290,4.42%,,
,,,,,,,,,,,,,
,,S,ADS,,,,8,3,1,968712,22.61%,,
,,,,,,,,,,,,,
,,S,RPI,,,,2,0,1,112580,2.63%,,
,,,,,,,,,,,,,
,,Z,IND,,,,25,0,24,399346,9.32%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,75,13,44,4284551,,,
,,,,,,,,,,,,,
Rajasthan,2,3,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,,,7,3,1,699905,10.27%,,
,,,,,,,,,,,,,
,,N,CPI,,,,3,0,2,118844,1.74%,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,0,70659,1.04%,,
,,,,,,,,,,,,,
,,N,INC,,,,22,10,0,2722493,39.95%,,
,,,,,,,,,,,,,
,,N,PSP,,,,1,0,1,5605,0.08%,,
,,,,,,,,,,,,,
,,N,SSP,,,,3,0,1,175593,2.58%,,
,,,,,,,,,,,,,
,,N,SWA,,,,14,8,0,1842705,27.04%,,
,,,,,,,,,,,,,
,,S,RPI,,,,1,0,1,12072,0.18%,,
,,,,,,,,,,,,,
,,Z,IND,,,,64,2,62,1166543,17.12%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,116,23,68,6814419,,,
,,,,,,,,,,,,,
Uttar Pradesh,8,5,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,,,77,12,22,4831102,22.18%,,
,,,,,,,,,,,,,
,,N,CPI,,,,17,5,9,710462,3.26%,,
,,,,,,,,,,,,,
,,N,CPM,,,,6,1,5,259744,1.19%,,
,,,,,,,,,,,,,
,,N,INC,,,,85,47,2,7285130,33.44%,,
,,,,,,,,,,,,,
,,N,PSP,,,,27,2,19,815561,3.74%,,
,,,,,,,,,,,,,
,,N,SSP,,,,43,8,19,2236385,10.27%,,
,,,,,,,,,,,,,
,,N,SWA,,,,38,1,32,1038968,4.77%,,
,,,,,,,,,,,,,
,,S,RPI,,,,24,1,18,886021,4.07%,,
,,,,,,,,,,,,,
,,Z,IND,,,,190,8,170,3720307,17.08%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,507,85,296,21783680,,,
,,,,,,,,,,,,,
West Bengal,4,0,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,,,7,0,6,178508,1.39%,,
,,,,,,,,,,,,,
dinStates/UTsbyParties - Pag,e 5 of 8),,,,,,,,9,6,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF,,
NUMBER OF,PART,Y,PARTY,,,,CONT- S,EATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,TY,PE,,,,,ESTED,WON SEA,TS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8,,
,,,,,,,,,,,,,
West Bengal,4,0,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,11,5,1,1175711,9.14%,,
,,,,,,,,,,,,,
,,N,CPM,,,,16,5,1,2012522,15.65%,,
,,,,,,,,,,,,,
,,N,INC,,,,40,14,0,5105170,39.69%,,
,,,,,,,,,,,,,
,,N,PSP,,,,2,1,0,218146,1.70%,,
,,,,,,,,,,,,,
,,N,SSP,,,,3,1,1,191243,1.49%,,
,,,,,,,,,,,,,
,,N,SWA,,,,3,0,3,98590,0.77%,,
,,,,,,,,,,,,,
,,S,BAC,,,,7,5,1,1204356,9.36%,,
,,,,,,,,,,,,,
,,S,FBL,,,,6,2,1,627910,4.88%,,
,,,,,,,,,,,,,
,,S,RPI,,,,1,0,0,84644,0.66%,,
,,,,,,,,,,,,,
,,Z,IND,,,,44,7,31,1965301,15.28%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats Wo,"n, FD","in Seats,",Valid,Votes),:,140,40,45,12862101,,,
,,,,,,,,,,,,,
Kerala,1,9,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,,,4,0,4,87416,1.39%,,
,,,,,,,,,,,,,
,,N,CPI,,,,3,3,0,501352,7.99%,,
,,,,,,,,,,,,,
,,N,CPM,,,,9,9,0,1540027,24.56%,,
,,,,,,,,,,,,,
,,N,INC,,,,19,1,0,2267393,36.15%,,
,,,,,,,,,,,,,
,,N,PSP,,,,1,0,1,15072,0.24%,,
,,,,,,,,,,,,,
,,N,SSP,,,,3,3,0,516509,8.24%,,
,,,,,,,,,,,,,
,,N,SWA,,,,3,0,2,147005,2.34%,,
,,,,,,,,,,,,,
,,S,KEC,,,,5,0,1,321219,5.12%,,
,,,,,,,,,,,,,
,,S,MUL,,,,2,2,0,413868,6.60%,,
,,,,,,,,,,,,,
,,Z,IND,,,,12,1,10,461616,7.36%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats Wo,"n, FD","in Seats,",Valid,Votes),:,61,19,18,6271477,,,
,,,,,,,,,,,,,
And Nicobar Islands,,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,INC,,,,1,1,0,19310,52.57%,,
,,,,,,,,,,,,,
,,N,SWA,,,,1,0,1,1717,4.67%,,
,,,,,,,,,,,,,
,,S,DMK,,,,1,0,1,4891,13.32%,,
,,,,,,,,,,,,,
,,Z,IND,,,,3,0,2,10814,29.44%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats Wo,"n, FD","in Seats,",Valid,Votes),:,6,1,4,36732,,,
,,,,,,,,,,,,,
dinStates/UTsbyParties - Pag,e 6 of 8),,,,,,,,9,7,,,
"STATE/UT,",,,,,,,SEATS,,V,OTES,% OF,,
NUMBER OF,PART,Y,PARTY,,,,CONT- S,EATS,FD IN PO,LLED,VOTES,,
CONSTITUENCIES,TY,PE,,,,,ESTED,WON,SEATS BY,PARTY,POLLED,,
,,,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8,,
,,,,,,,,,,,,,
Chandigarh,,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,,,1,1,0,23939,48.70%,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,1,1580,3.21%,,
,,,,,,,,,,,,,
,,N,INC,,,,1,0,0,11323,23.04%,,
,,,,,,,,,,,,,
,,N,SWA,,,,1,0,0,10258,20.87%,,
,,,,,,,,,,,,,
,,Z,IND,,,,6,0,6,2055,4.18%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,10,1,7,49155,,,
,,,,,,,,,,,,,
a And Nagar Haveli,,1,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,,,1,0,1,869,4.09%,,
,,,,,,,,,,,,,
,,N,CPM,,,,1,0,0,4248,19.99%,,
,,,,,,,,,,,,,
,,N,INC,,,,1,1,0,10654,50.14%,,
,,,,,,,,,,,,,
,,N,PSP,,,,1,0,1,3529,16.61%,,
,,,,,,,,,,,,,
,,N,SWA,,,,1,0,1,1948,9.17%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,5,1,3,21248,,,
,,,,,,,,,,,,,
Delhi,,7,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,,,7,6,0,523860,46.72%,,
,,,,,,,,,,,,,
,,N,INC,,,,7,1,0,434937,38.79%,,
,,,,,,,,,,,,,
,,N,SSP,,,,2,0,2,2265,0.20%,,
,,,,,,,,,,,,,
,,S,RPI,,,,6,0,6,63706,5.68%,,
,,,,,,,,,,,,,
,,Z,IND,,,,24,0,24,96393,8.60%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,46,7,32,1121161,,,
,,,,,,,,,,,,,
"Goa, Daman And Diu",,2,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,CPI,,,,1,0,1,5753,2.07%,,
,,,,,,,,,,,,,
,,N,INC,,,,1,0,1,15205,5.47%,,
,,,,,,,,,,,,,
,,N,PSP,,,,1,0,1,5337,1.92%,,
,,,,,,,,,,,,,
,,S,UGF,,,,1,0,1,1714,0.62%,,
,,,,,,,,,,,,,
,,S,UGS,,,,2,1,0,100137,36.05%,,
,,,,,,,,,,,,,
,,Z,IND,,,,10,1,8,149640,53.87%,,
,,,,,,,,,,,,,
"tate/UT total (Contestants,",Seats W,"on, FD","in Seats,",Valid,Votes),:,16,2,12,277786,,,
,,,,,,,,,,,,,
Himachal Pradesh,,6,,,,,,,,,,,
,,,,,,,,,,,,,
,,N,BJS,,,,3,0,0,148062,19.06%,,
