"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS FD,IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON SE,ATS BY,PARTY,POLLED
,,N,CPI,,,,1,0,1,12920,0.93%
,,,,,,,,,,,
,,N,INC,,,,4,4,0,942657,67.58%
,,,,,,,,,,,
,,N,JNP,,,,2,0,2,50050,3.59%
,,,,,,,,,,,
,,N,LKD,,,,1,0,1,14591,1.05%
,,,,,,,,,,,
,,S,ICJ,,,,1,0,1,3817,0.27%
,,,,,,,,,,,
,,Z,IND,,,,19,0,19,46174,3.31%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,31,4,24,1394839,
,,,,,,,,,,,
MMU & KASHMIR,,6,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,1,37309,1.71%
,,,,,,,,,,,
,,N,INC,,,,4,3,0,661435,30.23%
,,,,,,,,,,,
,,N,LKD,,,,1,0,1,2423,0.11%
,,,,,,,,,,,
,,S,JKN,,,,5,3,0,1010243,46.17%
,,,,,,,,,,,
,,S,JKP,,,,1,0,1,646,0.03%
,,,,,,,,,,,
,,U,JPP,,,,1,0,0,95149,4.35%
,,,,,,,,,,,
,,Z,IND,,,,35,0,32,380951,17.41%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,48,6,35,2188156,
"ELECTIONS - INDIA, 1",984,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
KARNATAKA,,28,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,6,0,2,631890,4.68%
,,,,,,,,,,,
,,N,CPI,,,,2,0,1,136278,1.01%
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,14156,0.10%
,,,,,,,,,,,
,,N,INC,,,,28,24,0,6974044,51.63%
,,,,,,,,,,,
,,N,JNP,,,,23,4,1,4734674,35.05%
,,,,,,,,,,,
,,N,LKD,,,,7,0,7,66281,0.49%
,,,,,,,,,,,
,,Z,IND,,,,267,0,266,949674,7.03%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,334,28,278,13506997,
,,,,,,,,,,,
KERALA,,20,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,5,0,5,191120,1.75%
,,,,,,,,,,,
,,N,CPI,,,,4,0,0,803206,7.37%
,,,,,,,,,,,
,,N,CPM,,,,10,1,0,2425965,22.27%
,,,,,,,,,,,
,,N,ICS,,,,2,1,0,477466,4.38%
,,,,,,,,,,,
,,N,INC,,,,13,13,0,3624315,33.27%
,,,,,,,,,,,
,,N,JNP,,,,1,1,0,232339,2.13%
,,,,,,,,,,,
,,N,LKD,,,,1,0,0,186353,1.71%
,,,,,,,,,,,
,,S,IML,,,,1,0,0,224155,2.06%
,,,,,,,,,,,
,,S,KCJ,,,,2,2,0,598113,5.49%
,,,,,,,,,,,
,,S,KEC,,,,1,0,0,258591,2.37%
,,,,,,,,,,,
,,S,MUL,,,,2,2,0,575754,5.29%
,,,,,,,,,,,
,,Z,IND,,,,109,0,105,1295634,11.89%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,151,20,110,10893011,
,,,,,,,,,,,
ADHYA PRADESH,,40,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,40,0,3,4675907,29.99%
,,,,,,,,,,,
,,N,CPI,,,,4,0,3,137942,0.88%
,,,,,,,,,,,
,,N,ICS,,,,2,0,2,5612,0.04%
,,,,,,,,,,,
,,N,INC,,,,40,40,0,8898835,57.08%
,,,,,,,,,,,
,,N,JNP,,,,23,0,22,426377,2.73%
,,,,,,,,,,,
,,N,LKD,,,,11,0,11,169677,1.09%
,,,,,,,,,,,
,,Z,IND,,,,278,0,275,1275423,8.18%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,398,40,316,15589773,
,,,,,,,,,,,
MAHARASHTRA,,48,,,,,,,,,
,,,,,,,,,,,
