Election,Commission,of,India,- General Elections,", 1989(9th LOK",SABHA),,,,,
,,,,,,,,,,,
VOTES P,OLLE,,D I,N STAT,ES BY,PART,IES,,,,
,,,,,,,,,,,
"STATE/UT,",,,,,SEATS,,,VOTES,% OF,,
NUMBER OF P,ARTY P,A,RTY,,CONT- SE,ATS FD,IN P,OLLED,VOTES,,
CONSTITUENCIES,TYPE,,,,ESTED W,ON SEA,TS BY,PARTY,POLLED,,
,,,,,,,,,,,
,,N,CPM,,,,4,0,0,965838,3.66%
,,,,,,,,,,,
,,N,INC,,,,28,27,0,10524027,39.86%
,,,,,,,,,,,
,,N,JD,,,,2,0,0,374902,1.42%
,,,,,,,,,,,
,,N,JNP (JP),,,,8,0,8,12572,0.05%
,,,,,,,,,,,
,,N,LKD (B),,,,6,0,6,6994,0.03%
,,,,,,,,,,,
,,S,ADK,,,,11,11,0,4518649,17.12%
,,,,,,,,,,,
,,S,DMK,,,,31,0,0,7038849,26.66%
,,,,,,,,,,,
,,U,BMC,,,,1,0,1,1357,0.01%
,,,,,,,,,,,
,,U,DNC,,,,1,0,1,1332,0.01%
,,,,,,,,,,,
,,U,HPI,,,,1,0,0,120197,0.46%
,,,,,,,,,,,
,,U,IJP,,,,1,0,1,1428,0.01%
,,,,,,,,,,,
,,U,IPF,,,,1,0,1,1477,0.01%
,,,,,,,,,,,
,,U,KDC,,,,1,0,1,322,0.00%
,,,,,,,,,,,
,,U,MPP,,,,1,0,1,694,0.00%
,,,,,,,,,,,
,,U,PMK,,,,32,0,27,1536350,5.82%
,,,,,,,,,,,
,,U,PWA,,,,1,0,1,1964,0.01%
,,,,,,,,,,,
,,U,SLL,,,,1,0,1,391,0.00%
,,,,,,,,,,,
,,U,TMM,,,,33,0,33,63942,0.24%
,,,,,,,,,,,
,,U,TRM,,,,2,0,2,12859,0.05%
,,,,,,,,,,,
,,Z,IND,,,,335,0,334,599759,2.27%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,506,39,421,26399730,
,,,,,,,,,,,
TRIPURA,,2,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,1,7376,0.58%
,,,,,,,,,,,
,,N,CPM,,,,2,0,0,528538,41.72%
,,,,,,,,,,,
,,N,INC,,,,2,2,0,703094,55.50%
,,,,,,,,,,,
,,U,AMB,,,,2,0,2,13810,1.09%
,,,,,,,,,,,
,,Z,IND,,,,5,0,5,13929,1.10%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,12,2,8,1266747,
,,,,,,,,,,,
UTTAR PRADESH,,85,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,31,8,13,2957951,7.58%
,,,,,,,,,,,
,,N,CPI,,,,9,2,6,529798,1.36%
,,,,,,,,,,,
,,N,CPM,,,,1,1,0,174438,0.45%
,,,,,,,,,,,
,,N,ICS(SCS),,,,3,0,2,105749,0.27%
,,,,,,,,,,,
,,N,INC,,,,84,15,1,12393934,31.77%
,,,,,,,,,,,
,,N,JD,,,,69,54,0,14004513,35.90%
,,,,,,,,,,,
,,N,JNP (JP),,,,30,0,30,379339,0.97%
"ELECTIONS - INDIA, 1989",,,VOT,ES,POLLED IN ST,ATES BY,PARTIES,,,,
,,,,,,,,,,,
"STATE/UT,",,,SEATS,,,VOTES,% OF,,,,
NUMBER OF PAR,TY,PARTY,CONT- SE,ATS,FD IN P,OLLED,VOTES,,,,
CONSTITUENCIES TY,PE,,ESTED W,ON,SEATS BY,PARTY,POLLED,,,,
,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,
,,,,,,,,,,,
UTTAR PRADESH 8,5,,,,,,,,,,
,,,,,,,,,,,
,N,LKD (B),35,0,35,325876,0.84%,,,,
,,,,,,,,,,,
,S,FBL,3,0,3,3196,0.01%,,,,
,,,,,,,,,,,
,S,ICJ(TG),1,0,1,6320,0.02%,,,,
,,,,,,,,,,,
,U,BKUS,1,0,1,2391,0.01%,,,,
,,,,,,,,,,,
,U,BSP,75,2,57,3875417,9.93%,,,,
,,,,,,,,,,,
,U,DDP,80,0,80,504384,1.29%,,,,
,,,,,,,,,,,
,U,DMM,1,0,1,693,0.00%,,,,
,,,,,,,,,,,
,U,HMS,10,1,9,215931,0.55%,,,,
,,,,,,,,,,,
,U,IPF,2,0,2,22794,0.06%,,,,
,,,,,,,,,,,
,U,KSP,1,0,1,2263,0.01%,,,,
,,,,,,,,,,,
,U,LTP,1,0,1,1272,0.00%,,,,
,,,,,,,,,,,
,U,MUM,2,0,2,25839,0.07%,,,,
,,,,,,,,,,,
,U,PBI,1,0,1,18272,0.05%,,,,
,,,,,,,,,,,
,U,RPI,4,0,4,36645,0.09%,,,,
,,,,,,,,,,,
,U,RRP,2,0,2,2901,0.01%,,,,
,,,,,,,,,,,
,U,SOP,4,0,4,12430,0.03%,,,,
,,,,,,,,,,,
,U,SSD,2,0,2,9596,0.02%,,,,
,,,,,,,,,,,
,U,SUC,1,0,1,3788,0.01%,,,,
,,,,,,,,,,,
,U,UKD,2,0,2,39465,0.10%,,,,
,,,,,,,,,,,
,U,UPRP,10,0,10,91740,0.24%,,,,
,,,,,,,,,,,
,Z,IND,622,2,614,3264907,8.37%,,,,
,,,,,,,,,,,
"State/UT total (Contestants, Seats W","on, F","D in Seats, Valid Votes) :",1087,85,885,39011842,,,,,
,,,,,,,,,,,
WEST BENGAL 4,2,,,,,,,,,,
,,,,,,,,,,,
,N,BJP,19,0,19,529618,1.67%,,,,
,,,,,,,,,,,
,N,CPI,3,3,0,1233745,3.90%,,,,
,,,,,,,,,,,
,N,CPM,31,27,0,12150017,38.38%,,,,
,,,,,,,,,,,
,N,INC,41,4,0,13100945,41.38%,,,,
,,,,,,,,,,,
,N,JD,1,0,0,164854,0.52%,,,,
,,,,,,,,,,,
,N,JNP (JP),4,0,4,25839,0.08%,,,,
,,,,,,,,,,,
,S,FBL,3,3,0,1249902,3.95%,,,,
,,,,,,,,,,,
,S,MUL,8,0,8,132995,0.42%,,,,
,,,,,,,,,,,
,S,RSP,4,4,0,1485897,4.69%,,,,
,,,,,,,,,,,
,U,AMB,19,0,19,63280,0.20%,,,,
,,,,,,,,,,,
,U,BJS,1,0,1,1527,0.00%,,,,
,,,,,,,,,,,
,U,BSP,20,0,20,98349,0.31%,,,,
,,,,,,,,,,,
,U,CPI(ML),3,0,3,32297,0.10%,,,,
,,,,,,,,,,,
,U,DDP,18,0,18,19881,0.06%,,,,
,,,,,,,,,,,
,U,GNLF,1,1,0,435070,1.37%,,,,
,,,,,,,,,,,
,U,GOL(BG),1,0,1,4426,0.01%,,,,
,,,,,,,,,,,
,U,INC(O),2,0,2,1735,0.01%,,,,
,,,,,,,,,,,
,U,JKD,5,0,4,187360,0.59%,,,,
"ELECTIONS - INDIA, 1",989,,,,,,VOT,ES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- SE,ATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED W,ON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
WEST BENGAL,,42,,,,,,,,,
,,,,,,,,,,,
,,U,JMM,,,,3,0,3,53782,0.17%
,,,,,,,,,,,
,,U,MIM,,,,3,0,3,14481,0.05%
,,,,,,,,,,,
,,U,WBS(BM),,,,2,0,2,2411,0.01%
,,,,,,,,,,,
,,Z,IND,,,,144,0,144,670016,2.12%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,336,42,251,31658427,
,,,,,,,,,,,
MAN & NICOBAR,,1,,,,,,,,,
ISLANDS,,,,,,,,,,,
,,,,,,,,,,,
,,N,CPM,,,,1,0,0,34469,30.49%
,,,,,,,,,,,
,,N,ICS(SCS),,,,1,0,0,19172,16.96%
,,,,,,,,,,,
,,N,INC,,,,1,1,0,53383,47.21%
,,,,,,,,,,,
,,Z,IND,,,,4,0,4,6041,5.34%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,7,1,4,113065,
,,,,,,,,,,,
CHANDIGARH,,1,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,1,0,1,26586,12.26%
,,,,,,,,,,,
,,N,INC,,,,1,0,0,87238,40.22%
,,,,,,,,,,,
,,N,JD,,,,1,1,0,91212,42.05%
,,,,,,,,,,,
,,N,JNP (JP),,,,1,0,1,1336,0.62%
,,,,,,,,,,,
,,N,LKD (B),,,,1,0,1,132,0.06%
,,,,,,,,,,,
,,U,BSP,,,,1,0,1,2905,1.34%
,,,,,,,,,,,
,,U,DDP,,,,1,0,1,300,0.14%
,,,,,,,,,,,
,,U,SAD(M),,,,1,0,1,133,0.06%
,,,,,,,,,,,
,,Z,IND,,,,19,0,19,7061,3.26%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,27,1,25,216903,
,,,,,,,,,,,
& NAGAR HAVELI,,1,,,,,,,,,
,,,,,,,,,,,
,,N,CPM,,,,1,0,1,5604,10.78%
,,,,,,,,,,,
,,N,INC,,,,1,0,0,14875,28.61%
,,,,,,,,,,,
,,U,BSP,,,,1,0,1,708,1.36%
,,,,,,,,,,,
,,Z,IND,,,,2,1,1,30811,59.25%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,5,1,3,51998,
,,,,,,,,,,,
DAMAN & DIU,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,0,0,13807,37.79%
,,,,,,,,,,,
,,N,JD,,,,1,0,0,6732,18.42%
,,,,,,,,,,,
,,Z,IND,,,,3,1,2,15999,43.79%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,5,1,2,36538,
,,,,,,,,,,,
TIONAL CAPITAL,,7,,,,,,,,,
RITORY OF DELHI,,,,,,,,,,,
,,,,,,,,,,,
,,N,BJP,,,,5,4,0,798003,26.19%
,,,,,,,,,,,
,,N,INC,,,,7,2,0,1322876,43.41%
,,,,,,,,,,,
,,N,JD,,,,3,1,1,496007,16.28%
,,,,,,,,,,,
,,N,JNP (JP),,,,3,0,3,5622,0.18%
,,,,,,,,,,,
dinStates/UTsbyParties - Page,10 of,11),,,,,,,1,25,
"ELECTIONS - INDIA, 1",989,,,,,,VO,TES,POLLED IN ST,ATES BY,PARTIES
,,,,,,,,,,,
"STATE/UT,",,,,,,,SEATS,,,VOTES,% OF
NUMBER OF,PAR,TY,PARTY,,,,CONT- S,EATS,FD IN P,OLLED,VOTES
CONSTITUENCIES,T,YPE,,,,,ESTED,WON,SEATS BY,PARTY,POLLED
,,,,,,,,,,,
1,,2,3,,,,4,5,6,7,8
,,,,,,,,,,,
TIONAL CAPITAL,,7,,,,,,,,,
RITORY OF DELHI,,,,,,,,,,,
,,,,,,,,,,,
,,N,LKD (B),,,,5,0,5,3195,0.10%
,,,,,,,,,,,
,,S,FBL,,,,1,0,1,77,0.00%
,,,,,,,,,,,
,,S,ICJ(TG),,,,3,0,3,6219,0.20%
,,,,,,,,,,,
,,U,BSP,,,,5,0,5,111269,3.65%
,,,,,,,,,,,
,,U,DDP,,,,7,0,7,6719,0.22%
,,,,,,,,,,,
,,U,HMS,,,,2,0,2,1583,0.05%
,,,,,,,,,,,
,,U,HSS,,,,1,0,1,160,0.01%
,,,,,,,,,,,
,,U,LMD,,,,3,0,3,1035,0.03%
,,,,,,,,,,,
,,U,LMS,,,,1,0,1,128,0.00%
,,,,,,,,,,,
,,U,LPI,,,,1,0,1,99,0.00%
,,,,,,,,,,,
,,U,PDI,,,,1,0,1,1392,0.05%
,,,,,,,,,,,
,,U,PPI,,,,1,0,1,478,0.02%
,,,,,,,,,,,
,,U,RPI,,,,6,0,6,5120,0.17%
,,,,,,,,,,,
,,U,RPI(GG),,,,1,0,1,539,0.02%
,,,,,,,,,,,
,,U,RRP,,,,1,0,1,97,0.00%
,,,,,,,,,,,
,,U,SHP,,,,1,0,1,1009,0.03%
,,,,,,,,,,,
,,Z,IND,,,,179,0,178,285689,9.38%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,237,7,222,3047316,
,,,,,,,,,,,
LAKSHADWEEP,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,13323,52.27%
,,,,,,,,,,,
,,Z,IND,,,,1,0,0,12167,47.73%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,2,1,0,25490,
,,,,,,,,,,,
PONDICHERRY,,1,,,,,,,,,
,,,,,,,,,,,
,,N,INC,,,,1,1,0,190562,50.47%
,,,,,,,,,,,
,,N,LKD (B),,,,1,0,1,965,0.26%
,,,,,,,,,,,
,,S,DMK,,,,1,0,0,157250,41.65%
,,,,,,,,,,,
,,U,PMK,,,,1,0,1,25021,6.63%
,,,,,,,,,,,
,,U,TMM,,,,1,0,1,943,0.25%
,,,,,,,,,,,
,,Z,IND,,,,6,0,6,2847,0.75%
,,,,,,,,,,,
"State/UT total (Contestants,",Seats,"Won, F","D in Seats,",Valid,Votes),:,11,1,9,377588,
,,,,,,,,,,,
,Gran,d Total,:,,,,6160,529,5003,300776423,
,,,,,,,,,,,
"Party, S - State Party, U -",Regis,tered (,Unrecognis,ed) P,"arty, Z",-,Independent,,,,
,,,,,,,,,,,
dinStates/UTsbyParties - Page,11 of,11),,,,,,,,126,
